"indicator_code"	"indicator_name"	"long_definition"
"SH.DYN.STLB"	"Stillbirth rate (per 1,000 total births)"	"Stillbirth rate is the number of fetal deaths at 28 weeks or more of gestation per 1,000 total births. Total birth is the sum of stillbirths (as just defined) and live births."
"SH.H2O.BASW.RU.ZS"	"People using at least basic drinking water services, rural (% of rural population)"	"The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water."
"SH.H2O.BASW.UR.ZS"	"People using at least basic drinking water services, urban (% of urban population)"	"The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water."
"SH.H2O.BASW.ZS"	"People using at least basic drinking water services (% of population)"	"The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water."
"SH.H2O.SMDW.ZS"	"People using safely managed drinking water services (% of population)"	"The percentage of people using drinking water from an improved source that is accessible on premises, available when needed and free from faecal and priority chemical contamination. Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water."
"SH.HIV.1524.FE.ZS"	"Prevalence of HIV, female (% ages 15-24)"	"Prevalence of HIV, female is the percentage of females who are infected with HIV. Youth rates are as a percentage of the relevant age group."
"SH.HIV.1524.MA.ZS"	"Prevalence of HIV, male (% ages 15-24)"	"Prevalence of HIV, male is the percentage of males who are infected with HIV. Youth rates are as a percentage of the relevant age group."
"SH.HIV.ARTC.ZS"	"Antiretroviral therapy coverage (% of people living with HIV)"	"Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy."
"SH.HIV.INCD"	"Adults (ages 15-49) newly infected with HIV"	"Number of adults (ages 15-49) newly infected with HIV."
"SH.HIV.INCD.50.P3"	"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)"	"Number of new HIV infections among uninfected populations ages 50+ expressed per 1,000 uninfected population ages 50+ in the year before the period."
"SH.HIV.INCD.TL"	"Adults (ages 15+) and children (ages 0-14) newly infected with HIV"	"Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV."
"SH.HIV.INCD.TL.P3"	"Incidence of HIV, all (per 1,000 uninfected population)"	"Number of new HIV infections among uninfected populations expressed per 1,000 uninfected population in the year before the period."
"SH.HIV.INCD.YG"	"Young people (ages 15-24) newly infected with HIV"	"Number of young people (ages 15-24) newly infected with HIV."
"SH.HIV.INCD.YG.MA.P3"	"Incidence of HIV, ages 15-24, male (per 1,000 uninfected male population ages 15-24)"	"Number of new HIV infections among uninfected female populations ages 15-24 expressed per 1,000 uninfected female population ages 15-24 in the year before the period."
"SH.HIV.INCD.YG.P3"	"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"	"Number of new HIV infections among uninfected populations ages 15-24 expressed per 1,000 uninfected population ages 15-24 in the year before the period."
"SH.HIV.INCD.ZS"	"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"	"Number of new HIV infections among uninfected populations ages 15-49 expressed per 1,000 uninfected population in the year before the period."
"SH.IMM.HEPB"	"Immunization, HepB3 (% of one-year-old children)"	"Child immunization rate, hepatitis B is the percentage of children ages 12-23 months who received hepatitis B vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized after three doses."
"SH.IMM.IDPT"	"Immunization, DPT (% of children ages 12-23 months)"	"Child immunization, DPT, measures the percentage of children ages 12-23 months who received DPT vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against diphtheria, pertussis (or whooping cough), and tetanus (DPT) after receiving three doses of vaccine."
"SH.IMM.MEA2"	"Immunization, measles second dose (% of children by the nationally recommended age)"	"Child immunization, measles second dose, measures the percentage of children who received two dose of measles containing vaccine according to nationally recommended schedule through routine immunization services in a given year."
"SH.IMM.MEAS"	"Immunization, measles (% of children ages 12-23 months)"	"Child immunization, measles, measures the percentage of children ages 12-23 months who received the measles vaccination before 12 months or at any time before the survey. A child is considered adequately immunized against measles after receiving one dose of vaccine."
"SH.MED.BEDS.ZS"	"Hospital beds (per 1,000 people)"	"Hospital beds include inpatient beds available in public, private, general, and specialized hospitals and rehabilitation centers. In most cases beds for both acute and chronic care are included."
"SH.MED.NUMW.P3"	"Nurses and midwives (per 1,000 people)"	"Nurses and midwives include professional nurses, professional midwives, auxiliary nurses, auxiliary midwives, enrolled nurses, enrolled midwives and other associated personnel, such as dental nurses and primary care nurses."
"SH.MED.PHYS.ZS"	"Physicians (per 1,000 people)"	"Physicians include generalist and specialist medical practitioners."
"SH.MMR.DTHS"	"Number of maternal deaths"	"A maternal death refers to the death of a woman while pregnant or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes."
"SH.MMR.RISK"	"Lifetime risk of maternal death (1 in: rate varies by country)"	"Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death."
"SH.MMR.RISK.ZS"	"Lifetime risk of maternal death (%)"	"Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death."
"SH.PRG.ANEM"	"Prevalence of anemia among pregnant women (%)"	"Prevalence of anemia, pregnant women, is the percentage of pregnant women whose hemoglobin level is less than 110 grams per liter at sea level."
"SH.SGR.CRSK.ZS"	"Risk of catastrophic expenditure for surgical care (% of people at risk)"	"The proportion of population at risk of catastrophic expenditure when surgical care is required. Catastrophic expenditure is defined as direct out of pocket payments for surgical and anaesthesia care exceeding 10% of total income."
"SH.SGR.IRSK.ZS"	"Risk of impoverishing expenditure for surgical care (% of people at risk)"	"The proportion of population at risk of impoverishing expenditure when surgical care is required. Impoverishing expenditure is defined as direct out of pocket payments for surgical and anaesthesia care which drive people below a poverty threshold (using a threshold of $1.90 PPP/day)."
"SH.STA.BASS.RU.ZS"	"People using at least basic sanitation services, rural (% of rural population)"	"The percentage of people using at least basic sanitation services, that is, improved sanitation facilities that are not shared with other households.  This indicator encompasses both people using basic sanitation services as well as those using safely managed sanitation services.   Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines; ventilated improved pit latrines, compositing toilets or pit latrines with slabs."
"SH.STA.BASS.UR.ZS"	"People using at least basic sanitation services, urban (% of urban population)"	"The percentage of people using at least basic sanitation services, that is, improved sanitation facilities that are not shared with other households.  This indicator encompasses both people using basic sanitation services as well as those using safely managed sanitation services.   Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines; ventilated improved pit latrines, compositing toilets or pit latrines with slabs."
"SH.STA.BASS.ZS"	"People using at least basic sanitation services (% of population)"	"The percentage of people using at least basic sanitation services, that is, improved sanitation facilities that are not shared with other households.  This indicator encompasses both people using basic sanitation services as well as those using safely managed sanitation services.   Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines; ventilated improved pit latrines, compositing toilets or pit latrines with slabs."
"SH.STA.BRTC.ZS"	"Births attended by skilled health staff (% of total)"	"Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns."
"SH.STA.BRTW.ZS"	"Low-birthweight babies (% of births)"	"Low-birthweight babies are newborns weighing less than 2,500 grams, with the measurement taken within the first hour of life, before significant postnatal weight loss has occurred."
"SH.STA.MMRT.NE"	"Maternal mortality ratio (national estimate, per 100,000 live births)"	"Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births."
"SH.STA.ODFC.RU.ZS"	"People practicing open defecation, rural (% of rural population)"	"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste."
"SH.STA.ODFC.UR.ZS"	"People practicing open defecation, urban (% of urban population)"	"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste."
"SH.STA.ODFC.ZS"	"People practicing open defecation (% of population)"	"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste."
"SH.STA.OWGH.ME.ZS"	"Prevalence of overweight (modeled estimate, % of children under 5)"	"Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's 2006 Child Growth Standards."
"SH.STA.POIS.P5"	"Mortality rate attributed to unintentional poisoning (per 100,000 population)"	"Mortality rate attributed to unintentional poisonings is the number of deaths from unintentional poisonings in a year per 100,000 population.  Unintentional poisoning can
be caused by household chemicals, pesticides, kerosene, carbon monoxide and medicines, or can be the result of environmental contamination or occupational chemical exposure."
"SH.STA.POIS.P5.FE"	"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"	"Mortality rate attributed to unintentional poisonings is the number of female deaths from unintentional poisonings in a year per 100,000 female population.  Unintentional poisoning can be caused by household chemicals, pesticides, kerosene, carbon monoxide and medicines, or can be the result of environmental contamination or occupational chemical exposure."
"SH.STA.POIS.P5.MA"	"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"	"Mortality rate attributed to unintentional poisonings is the number of male deaths from unintentional poisonings in a year per 100,000 male population. Unintentional poisoning can
be caused by household chemicals, pesticides, kerosene, carbon monoxide and medicines, or can be the result of environmental contamination or occupational chemical exposure."
"SH.STA.SMSS.UR.ZS"	"People using safely managed sanitation services, urban (% of urban population)"	"The percentage of people using improved sanitation facilities that are not shared with other households and where excreta are safely disposed of in situ or transported and treated offsite. Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines: ventilated improved pit latrines, compositing toilets or pit latrines with slabs."
"SH.STA.SMSS.ZS"	"People using safely managed sanitation services (% of population)"	"The percentage of people using improved sanitation facilities that are not shared with other households and where excreta are safely disposed of in situ or transported and treated offsite. Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines: ventilated improved pit latrines, compositing toilets or pit latrines with slabs."
"SH.STA.SUIC.FE.P5"	"Suicide mortality rate, female (per 100,000 female population)"	"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted)."
"SH.STA.SUIC.MA.P5"	"Suicide mortality rate, male (per 100,000 male population)"	"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted)."
"SH.STA.SUIC.P5"	"Suicide mortality rate (per 100,000 population)"	"Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted)."
"SH.STA.TRAF.P5"	"Mortality caused by road traffic injury (per 100,000 population)"	"Mortality caused by road traffic injury is estimated road traffic fatal injury deaths per 100,000 population."
"SH.TBS.CURE.ZS"	"Tuberculosis treatment success rate (% of new cases)"	"Tuberculosis treatment success rate is the percentage of all new tuberculosis cases (or new and relapse cases for some countries) registered under a national tuberculosis control programme in a given year that successfully completed treatment, with or without bacteriological evidence of success (""cured"" and ""treatment completed"" respectively)."
"SH.TBS.DTEC.ZS"	"Tuberculosis case detection rate (%, all forms)"	"Tuberculosis case detection rate (all forms) is the number of new and relapse tuberculosis cases notified to WHO in a given year, divided by WHO's estimate of the number of incident tuberculosis cases for the same year, expressed as a percentage. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously."
"SH.TBS.INCD"	"Incidence of tuberculosis (per 100,000 people)"	"Incidence of tuberculosis is the estimated number of new and relapse tuberculosis cases arising in a given year, expressed as the rate per 100,000 population. All forms of TB are included, including cases in people living with HIV. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously."
"SH.XPD.CHEX.GD.ZS"	"Current health expenditure (% of GDP)"	"Level of current health expenditure expressed as a percentage of GDP.  Estimates of current health expenditures include healthcare goods and services consumed during each year. This indicator does not include capital health expenditures such as buildings, machinery, IT and stocks of vaccines for emergency or outbreaks."
"SH.XPD.CHEX.PC.CD"	"Current health expenditure per capita (current US$)"	"Current expenditures on health per capita in current US dollars. Estimates of current health expenditures include healthcare goods and services consumed during each year."
"SH.XPD.CHEX.PP.CD"	"Current health expenditure per capita, PPP (current international $)"	"Current expenditures on health per capita expressed in international dollars at purchasing power parity."
"SH.XPD.EHEX.CH.ZS"	"External health expenditure (% of current health expenditure)"	"Share of current health expenditures funded from external sources. External sources compose of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country. External sources either flow through the government scheme or are channeled through non-governmental organizations or other schemes."
"SH.XPD.EHEX.PC.CD"	"External health expenditure per capita (current US$)"	"Current external expenditures on health per capita expressed in current US dollars. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country."
"SH.XPD.EHEX.PP.CD"	"External health expenditure per capita, PPP (current international $)"	"Current external expenditures on health per capita expressed in international dollars at purchasing power parity. External sources are composed of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country."
"SH.XPD.GHED.CH.ZS"	"Domestic general government health expenditure (% of current health expenditure)"	"Share of current health expenditures funded from domestic public sources for health.  Domestic public sources include domestic revenue as internal transfers and grants, transfers, subsidies to voluntary health insurance beneficiaries, non-profit institutions serving households (NPISH) or enterprise financing schemes as well as compulsory prepayment and social health insurance contributions. They do not include external resources spent by governments on health."
"SH.XPD.GHED.GD.ZS"	"Domestic general government health expenditure (% of GDP)"	"Public expenditure on health from domestic sources as a share of the economy as measured by GDP."
"SH.XPD.GHED.GE.ZS"	"Domestic general government health expenditure (% of general government expenditure)"	"Public expenditure on health from domestic sources as a share of total public expenditure.  It indicates the priority of the government to spend on health from own domestic public resources."
"SH.XPD.GHED.PC.CD"	"Domestic general government health expenditure per capita (current US$)"	"Public expenditure on health from domestic sources per capita expressed in current US dollars."
"SH.XPD.GHED.PP.CD"	"Domestic general government health expenditure per capita, PPP (current international $)"	"Public expenditure on health from domestic sources per capita expressed in international dollars at purchasing power parity."
"SH.XPD.OOPC.CH.ZS"	"Out-of-pocket expenditure (% of current health expenditure)"	"Share of out-of-pocket payments of total current health expenditures.  Out-of-pocket payments are spending on health directly out-of-pocket by households."
"SH.XPD.OOPC.PC.CD"	"Out-of-pocket expenditure per capita (current US$)"	"Health expenditure through out-of-pocket payments per capita in USD.  Out of pocket payments are spending on health directly out of pocket by households in each country."
"SH.XPD.OOPC.PP.CD"	"Out-of-pocket expenditure per capita, PPP (current international $)"	"Health expenditure through out-of-pocket payments per capita in international dollars at purchasing power parity."
"SH.XPD.PVTD.CH.ZS"	"Domestic private health expenditure (% of current health expenditure)"	"Share of current health expenditures funded from domestic private sources.  Domestic private sources include funds from households, corporations and non-profit organizations. Such expenditures can be either prepaid to voluntary health insurance or paid directly to healthcare providers."
"SH.XPD.PVTD.PC.CD"	"Domestic private health expenditure per capita (current US$)"	"Current private expenditures on health per capita expressed in current US dollars. Domestic private sources include funds from households, corporations and non-profit organizations. Such expenditures can be either prepaid to voluntary health insurance or paid directly to healthcare providers."
"SH.XPD.PVTD.PP.CD"	"Domestic private health expenditure per capita, PPP (current international $)"	"Current private expenditures on health per capita expressed in international dollars at purchasing power parity."
"SM.POP.NETM"	"Net migration"	"Net migration is the net total of migrants during the period, that is, the number of immigrants minus the number of emigrants, including both citizens and noncitizens."
"SM.POP.REFG"	"Refugee population by country or territory of asylum"	"Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Palestinian refugees are people (and their descendants) whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab-Israeli conflict. Country of asylum is the country where an asylum claim was filed and granted."
"SM.POP.REFG.OR"	"Refugee population by country or territory of origin"	"Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Palestinian refugees are people (and their descendants) whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab-Israeli conflict. Country of origin generally refers to the nationality or country of citizenship of a claimant."
"SN.ITK.DEFC.ZS"	"Prevalence of undernourishment (% of population)"	"Prevalence of undernourishments is the percentage of the population whose habitual food consumption is insufficient to provide the dietary energy levels that are required to maintain a normal active and healthy life. Data showing as 2.5 may signify a prevalence of undernourishment below 2.5%."
"SP.ADO.TFRT"	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	"Adolescent fertility rate is the number of births per 1,000 women ages 15-19."
"SP.DYN.AMRT.FE"	"Mortality rate, adult, female (per 1,000 female adults)"	"Adult mortality rate, female, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old female dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages."
"SP.DYN.AMRT.MA"	"Mortality rate, adult, male (per 1,000 male adults)"	"Adult mortality rate, male, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old male dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages."
"SP.DYN.CBRT.IN"	"Birth rate, crude (per 1,000 people)"	"Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration."
"SP.DYN.CDRT.IN"	"Death rate, crude (per 1,000 people)"	"Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration."
"SP.DYN.IMRT.FE.IN"	"Mortality rate, infant, female (per 1,000 live births)"	"Infant mortality rate, female is the number of female infants dying before reaching one year of age, per 1,000 female live births in a given year."
"SP.DYN.IMRT.IN"	"Mortality rate, infant (per 1,000 live births)"	"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year."
"SP.DYN.IMRT.MA.IN"	"Mortality rate, infant, male (per 1,000 live births)"	"Infant mortality rate, male is the number of male infants dying before reaching one year of age, per 1,000 male live births in a given year."
"SP.DYN.LE00.FE.IN"	"Life expectancy at birth, female (years)"	"Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life."
"SP.DYN.LE00.IN"	"Life expectancy at birth, total (years)"	"Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life."
"SP.DYN.LE00.MA.IN"	"Life expectancy at birth, male (years)"	"Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life."
"SP.DYN.TFRT.IN"	"Fertility rate, total (births per woman)"	"Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year."
"SP.DYN.TO65.FE.ZS"	"Survival to age 65, female (% of cohort)"	"Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65, if subject to age specific mortality rates of the specified year."
"SP.DYN.TO65.MA.ZS"	"Survival to age 65, male (% of cohort)"	"Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65, if subject to age specific mortality rates of the specified year."
"SP.POP.0004.FE.5Y"	"Population ages 00-04, female (% of female population)"	"Female population between the ages 0 to 4 as a percentage of the total female population."
"SP.POP.0004.MA.5Y"	"Population ages 00-04, male (% of male population)"	"Male population between the ages 0 to 4 as a percentage of the total male population."
"SP.POP.0014.FE.IN"	"Population ages 0-14, female"	"Female population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.0014.FE.ZS"	"Population ages 0-14, female (% of female population)"	"Female population between the ages 0 to 14 as a percentage of the total female population. Population is based on the de facto definition of population."
"SP.POP.0014.MA.IN"	"Population ages 0-14, male"	"Male population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.0014.MA.ZS"	"Population ages 0-14, male (% of male population)"	"Male population between the ages 0 to 14 as a percentage of the total male population. Population is based on the de facto definition of population."
"SP.POP.0014.TO"	"Population ages 0-14, total"	"Total population between the ages 0 to 14. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.0014.TO.ZS"	"Population ages 0-14 (% of total population)"	"Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population."
"SP.POP.0509.FE.5Y"	"Population ages 05-09, female (% of female population)"	"Female population between the ages 5 to 9 as a percentage of the total female population."
"SP.POP.0509.MA.5Y"	"Population ages 05-09, male (% of male population)"	"Male population between the ages 5 to 9 as a percentage of the total male population."
"SP.POP.1014.FE.5Y"	"Population ages 10-14, female (% of female population)"	"Female population between the ages 10 to 14 as a percentage of the total female population."
"SP.POP.1014.MA.5Y"	"Population ages 10-14, male (% of male population)"	"Male population between the ages 10 to 14 as a percentage of the total male population."
"SP.POP.1519.FE.5Y"	"Population ages 15-19, female (% of female population)"	"Female population between the ages 15 to 19 as a percentage of the total female population."
"SP.POP.1519.MA.5Y"	"Population ages 15-19, male (% of male population)"	"Male population between the ages 15 to 19 as a percentage of the total male population."
"SP.POP.1564.FE.IN"	"Population ages 15-64, female"	"Female population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.1564.FE.ZS"	"Population ages 15-64, female (% of female population)"	"Female population between the ages 15 to 64 as a percentage of the total female population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.1564.MA.IN"	"Population ages 15-64, male"	"Male population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.1564.MA.ZS"	"Population ages 15-64, male (% of male population)"	"Male population between the ages 15 to 64 as a percentage of the total male population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.1564.TO"	"Population ages 15-64, total"	"Total population between the ages 15 to 64. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.1564.TO.ZS"	"Population ages 15-64 (% of total population)"	"Total population between the ages 15 to 64 as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.2024.FE.5Y"	"Population ages 20-24, female (% of female population)"	"Female population between the ages 20 to 24 as a percentage of the total female population."
"SP.POP.2024.MA.5Y"	"Population ages 20-24, male (% of male population)"	"Male population between the ages 20 to 24 as a percentage of the total male population."
"SP.POP.2529.FE.5Y"	"Population ages 25-29, female (% of female population)"	"Female population between the ages 25 to 29 as a percentage of the total female population."
"SP.POP.2529.MA.5Y"	"Population ages 25-29, male (% of male population)"	"Male population between the ages 25 to 29 as a percentage of the total male population."
"SP.POP.3034.FE.5Y"	"Population ages 30-34, female (% of female population)"	"Female population between the ages 30 to 34 as a percentage of the total female population."
"SP.POP.3034.MA.5Y"	"Population ages 30-34, male (% of male population)"	"Male population between the ages 30 to 34 as a percentage of the total male population."
"SP.POP.3539.FE.5Y"	"Population ages 35-39, female (% of female population)"	"Female population between the ages 35 to 39 as a percentage of the total female population."
